Title Dataset;DOI Dataset;UUID 4TU;UUID Research output;Type Research output;UUID Dataset;DOI Research output;Title Research output;Date made available
 Data from chapter 5 of the thesis 'Herbivores shape the seascape';10.4121/264ab2e2-eb36-4647-af52-07e0708142e9;264ab2e2-eb36-4647-af52-07e0708142e9;0baf7980-e0d1-49be-a8c5-f3f091539e1f;internal PhD, WU;3d8d2c9a-22bb-436d-ba9a-22d0e116b4af;10.18174/644664;Herbivores shape the seascape;1-2-2024 00:00
 Data underlying the publication: Hydrological consequences of controlled drainage with subirrigation;10.4121/6e5f65f6-530f-438d-8e43-3593e259aaba;6e5f65f6-530f-438d-8e43-3593e259aaba;eed77998-fa45-471a-b4f9-ef31186b93b5;Article;7ef1f712-7558-4fd7-b1f1-a51c6fcc8605;10.1016/j.jhydrol.2023.130432;Hydrological consequences of controlled drainage with subirrigation;28-9-2023 00:00
 Dataset belonging to the paper Seasonal variation in prey preference, diet partitioning and niche breadth in a rich large carnivore guild;10.4121/21915834;1151d7f1-4137-4427-875c-27af6dee0158;3c1d18cd-6a9d-449e-93cb-0ed620089143;Article;5273d25d-94c8-40f2-82d7-d04de2a48455;10.1111/aje.13098;Seasonal variation in prey preference, diet partitioning and niche breadth in a rich large carnivore guild;14-4-2023 00:00
2008 - Monitoring dioxins, PCBs and flame retardants in agricultural and fishery products;10.4121/17049800;610c37f6-ca23-49a7-8fc6-a76af956a2f5;;;406219ce-227c-425b-9b52-72e927f17583;;;23-11-2021 00:00
2009 - Monitoring dioxins, PCBs and flame retardants in agricultural and fishery products;10.4121/17049788;893f134a-939c-42b9-9f99-3da4e11468e8;;;ba739ad0-aef1-4183-a2b7-3e3d60d94c30;;;23-11-2021 00:00
2010 - Monitoring dioxins, PCBs and flame retardants in agricultural and fishery products;10.4121/17049758;b17c7c0b-00b8-417b-8567-ba41e1f84d78;;;607f749a-6f51-479a-a39a-c322aa0c2ff6;;;23-11-2021 00:00
2011 - Monitoring dioxins, PCBs and flame retardants in agricultural and fishery products;10.4121/17049740;b8020ef4-cbe4-4ce1-87dc-b2e2cff6f427;;;9bdb2357-6b0b-4ba4-b88b-e049e26b2b5f;;;23-11-2021 00:00
2012 - Monitoring dioxins, PCBs and flame retardants in agricultural and fishery products;10.4121/17049728;61b9544c-31c8-4ceb-a4a7-24486bf12d74;;;4e77cc09-1c82-47e8-8bb3-c4b3e820d703;;;23-11-2021 00:00
2013 - Monitoring dioxins, PCBs and flame retardants in agricultural and fishery products;10.4121/17049719;0f92ec62-c9f2-47b4-ac5f-522178169aa2;;;c1ac2c7e-8aba-4f79-8e66-ac73702841ad;;;23-11-2021 00:00
2014 - Monitoring dioxins, PCBs and flame retardants in agricultural and fishery products;10.4121/17049713;75b02160-3270-4212-8192-aeee7bd53ea7;;;eeeb7e07-6a76-4e90-a499-e9a593bf183c;;;23-11-2021 00:00
