Title Dataset;DOI Dataset;UUID 4TU;UUID Research output;Type Research output;UUID Dataset;DOI Research output;Title Research output;Date made available
 Data from chapter 5 of the thesis 'Herbivores shape the seascape';10.4121/264ab2e2-eb36-4647-af52-07e0708142e9;264ab2e2-eb36-4647-af52-07e0708142e9;0baf7980-e0d1-49be-a8c5-f3f091539e1f;internal PhD, WU;3d8d2c9a-22bb-436d-ba9a-22d0e116b4af;10.18174/644664;Herbivores shape the seascape;2024-02-01 00:00:00
 Data underlying the publication: Hydrological consequences of controlled drainage with subirrigation;10.4121/6e5f65f6-530f-438d-8e43-3593e259aaba;6e5f65f6-530f-438d-8e43-3593e259aaba;eed77998-fa45-471a-b4f9-ef31186b93b5;Article;7ef1f712-7558-4fd7-b1f1-a51c6fcc8605;10.1016/j.jhydrol.2023.130432;Hydrological consequences of controlled drainage with subirrigation;2023-09-28 00:00:00
 Dataset belonging to the paper Seasonal variation in prey preference, diet partitioning and niche breadth in a rich large carnivore guild;10.4121/21915834;1151d7f1-4137-4427-875c-27af6dee0158;3c1d18cd-6a9d-449e-93cb-0ed620089143;Article;5273d25d-94c8-40f2-82d7-d04de2a48455;10.1111/aje.13098;Seasonal variation in prey preference, diet partitioning and niche breadth in a rich large carnivore guild;2023-04-14 00:00:00
4DHydro WP5 exp 2.1 dataset wflow_sbm - Po River;10.4121/6e14e25b-cb2b-434e-a852-1340ed8f0eda;6e14e25b-cb2b-434e-a852-1340ed8f0eda;;;94074114-0379-4dfb-9304-816fee2ef307;;;2024-09-19 00:00:00
4DHydro WP5 exp 2.1 dataset wflow_sbm - Rhine River;10.4121/018b9124-ffbf-45f2-979a-7a22d465564b;018b9124-ffbf-45f2-979a-7a22d465564b;;;96680513-a1bf-4c5e-8799-6d47f9f6eeb7;;;2024-09-19 00:00:00
4DHydro WP5 exp 2.1 dataset wflow_sbm - Tugela River;10.4121/59d94d48-21c3-40c5-b120-5d543b865737;59d94d48-21c3-40c5-b120-5d543b865737;;;0ccc54f6-61fa-480d-9ed0-006a07228126;;;2024-09-19 00:00:00
4th Autonomous Greenhouse Challenge: Dwarf Tomato Timeseries and Images;10.4121/fa102772-32db-4b30-bace-12f2016722ce;fa102772-32db-4b30-bace-12f2016722ce;;;33ccd176-3ff9-4607-9c93-953d4e560430;;;2025-06-23 00:00:00
4th Autonomous Greenhouse Challenge: Pre-trial Dwarf Tomato Measurements and Images;10.4121/e1ee9de9-6ce9-4502-a37c-34b5b1372bed;e1ee9de9-6ce9-4502-a37c-34b5b1372bed;;;1382dde3-0f72-4714-88ab-ad07186579b9;;;2024-06-17 00:00:00
2020 - Monitoring dioxins, PCBs, PFAS and flame retardants in agricultural and fishery products;10.4121/16871812;2156cf92-3dce-4d4a-8018-74c1611e5e5f;;;;;;
2021 - Monitoring dioxins, PCBs, flame retardants and PFAS in agricultural and fishery products in 2021;10.4121/21667673;cb704e3c-84b6-463f-b9d3-ab4681b0e417;;;87afe59a-0723-4071-aacb-d828242a8a33;;;2022-12-01 00:00:00
2021- Monitoring dioxins, PCBs, flame retardants and PFAS in agricultural and fishery products in 2021;10.4121/21667673;cb704e3c-84b6-463f-b9d3-ab4681b0e417;;;;;;
2022- Monitoring dioxins, PCBs, flame retardants and PFAS in agricultural and fishery products;10.4121/e0b935eb-0207-4f4c-97f2-94314da70447;e0b935eb-0207-4f4c-97f2-94314da70447;;;49b24c27-6995-404b-b18e-d2cd5f3f6f92;;;2024-01-30 00:00:00
3rd Autonomous Greenhouse Challenge: Online Challenge Lettuce Images;10.4121/15023088;390186eb-d864-4c88-9a45-c6f36dddc4d3;;;f98eeaa8-e58a-463f-bcf5-6d1b0b51ba1a;;;2021-08-18 00:00:00
4DHydro WP5 exp 1.0 dataset wflow_sbm - Po River;10.4121/1abe4de8-ecef-48c0-bbde-c599357c4102;1abe4de8-ecef-48c0-bbde-c599357c4102;;;b2942378-c31e-4f1c-8c10-2415c35795ce;;;28 Mar 2024
4DHydro WP5 exp 1.0 dataset wflow_sbm - Rhine River;10.4121/c4e053ad-0d80-43d2-9d10-e61a55b91246;c4e053ad-0d80-43d2-9d10-e61a55b91246;;;53c4ddaa-6c10-40c3-ac06-45c7bd8c32b7;;;28 Mar 2024
4DHydro WP5 exp 1.0 dataset wflow_sbm - Tugela River;10.4121/7305a608-bb1e-4318-8f86-24a3582361ad;7305a608-bb1e-4318-8f86-24a3582361ad;;;df7eabbe-db24-49fc-a55a-57411909b237;;;2024-06-14 00:00:00
4DHydro WP5 exp 2.1 dataset wflow_sbm - Po River;10.4121/6e14e25b-cb2b-434e-a852-1340ed8f0eda;6e14e25b-cb2b-434e-a852-1340ed8f0eda;;;94074114-0379-4dfb-9304-816fee2ef307;;;2024-09-19 00:00:00
4DHydro WP5 exp 2.1 dataset wflow_sbm - Rhine River;10.4121/018b9124-ffbf-45f2-979a-7a22d465564b;018b9124-ffbf-45f2-979a-7a22d465564b;;;96680513-a1bf-4c5e-8799-6d47f9f6eeb7;;;2024-09-19 00:00:00
4DHydro WP5 exp 2.1 dataset wflow_sbm - Tugela River;10.4121/59d94d48-21c3-40c5-b120-5d543b865737;59d94d48-21c3-40c5-b120-5d543b865737;;;0ccc54f6-61fa-480d-9ed0-006a07228126;;;2024-09-19 00:00:00
4th Autonomous Greenhouse Challenge: Dwarf Tomato Timeseries and Images;10.4121/fa102772-32db-4b30-bace-12f2016722ce;fa102772-32db-4b30-bace-12f2016722ce;;;33ccd176-3ff9-4607-9c93-953d4e560430;;;2025-06-23 00:00:00
