Title Dataset;DOI Dataset;UUID 4TU;UUID Research output;Type Research output;UUID Dataset;DOI Research output;Title Research output;Date made available
 Data from chapter 5 of the thesis 'Herbivores shape the seascape';10.4121/264ab2e2-eb36-4647-af52-07e0708142e9;264ab2e2-eb36-4647-af52-07e0708142e9;0baf7980-e0d1-49be-a8c5-f3f091539e1f;internal PhD, WU;3d8d2c9a-22bb-436d-ba9a-22d0e116b4af;10.18174/644664;Herbivores shape the seascape;2024-02-01 00:00:00
 Data underlying the publication: Hydrological consequences of controlled drainage with subirrigation;10.4121/6e5f65f6-530f-438d-8e43-3593e259aaba;6e5f65f6-530f-438d-8e43-3593e259aaba;eed77998-fa45-471a-b4f9-ef31186b93b5;Article;7ef1f712-7558-4fd7-b1f1-a51c6fcc8605;10.1016/j.jhydrol.2023.130432;Hydrological consequences of controlled drainage with subirrigation;2023-09-28 00:00:00
 Dataset belonging to the paper Seasonal variation in prey preference, diet partitioning and niche breadth in a rich large carnivore guild;10.4121/21915834;1151d7f1-4137-4427-875c-27af6dee0158;3c1d18cd-6a9d-449e-93cb-0ed620089143;Article;5273d25d-94c8-40f2-82d7-d04de2a48455;10.1111/aje.13098;Seasonal variation in prey preference, diet partitioning and niche breadth in a rich large carnivore guild;2023-04-14 00:00:00
3rd Autonomous Greenhouse Challenge: Time-series data on realized climate with annotated crop lettuce-images;10.4121/21960932;95b19407-d3ef-404c-a613-083dd13a383f;6f6e90ca-0d1b-4ec9-8239-835646badb70;Article;9967ce22-50b4-4004-a70d-e457bf1b76a9;10.3390/s23062929;Lettuce Production in Intelligent Greenhouses—3D Imaging and Computer Vision for Plant Spacing Decisions;13 Mar 2023
4DHydro Benchmark Dataset wflow_sbm - Europe;10.4121/bc8f15d5-5009-407d-9542-1d132c84c18c;bc8f15d5-5009-407d-9542-1d132c84c18c;b7a29e9d-4255-4360-99a6-eedde0c1b632;Preprint;93330068-5b55-458c-a4d4-12f79aa7b676;10.5194/gmd-2022-182;Wflow_sbm v0.6.1, a spatially distributed hydrologic model: from global data to local applications;23 Oct 2023
4DHydro Benchmark Dataset wflow_sbm - Po;10.4121/571fb9c3-3674-414c-8d03-f5ebbd027a64;571fb9c3-3674-414c-8d03-f5ebbd027a64;b7a29e9d-4255-4360-99a6-eedde0c1b632;Preprint;d1e5ffe4-d762-4c21-8075-b4bdbb6d4cbf;10.5194/gmd-2022-182;Wflow_sbm v0.6.1, a spatially distributed hydrologic model: from global data to local applications;23 Oct 2023
4DHydro Benchmark Dataset wflow_sbm - Rhine;10.4121/876507b7-4b4a-4e8d-a2d8-868b25ba0fda;876507b7-4b4a-4e8d-a2d8-868b25ba0fda;b7a29e9d-4255-4360-99a6-eedde0c1b632;Preprint;b99c6a51-4bcf-4774-9adf-9db4c1badc90;10.5194/gmd-2022-182;Wflow_sbm v0.6.1, a spatially distributed hydrologic model: from global data to local applications;23 Oct 2023
4DHydro Benchmark Dataset wflow_sbm - Tugela;10.4121/b621e626-6f6f-4e16-9747-b1c1393e2d17;b621e626-6f6f-4e16-9747-b1c1393e2d17;b7a29e9d-4255-4360-99a6-eedde0c1b632;Preprint;fd0011d8-2524-4a2d-97d7-79284bd6050f;10.5194/gmd-2022-182;Wflow_sbm v0.6.1, a spatially distributed hydrologic model: from global data to local applications;23 Oct 2023
The Ossekampen Grassland Experiment: Data underlying the publication: A matter of time: recovery of plant species diversity in wild plant communities at declining nitrogen deposition;10.4121/13200398;de30e0a9-d6fa-4b7d-a3cd-dcfe12df0003;c87eb0f8-bac8-4a36-b164-af110c49403e;Article;112f3f3d-d659-4543-883f-b54221c464f9;10.1111/ddi.13266;A matter of time;2021-01-28 00:00:00
Supplementary materials for PhD thesis: Comparative Genomics and Trait Evolution in Lettuce, its Wild Relatives and the Asteraceae;10.4121/21803436;72161d86-4bc1-4312-a149-8db03d5c46b5;087725a3-bcd6-48d6-b657-0addf5d9ecc5;internal PhD, WU;f453ffec-93ba-4111-99ec-c8e00dc966f3;10.18174/589142;Comparative genomics and trait evolution in lettuce, its wild relatives and the Asteraceae;2025-02-28 00:00:00
