UUID Research output,Type Research output,UUID Dataset,DOI Research output,Title Research output,Title Dataset,DOI Dataset,group_id,4TU resource_title,4TU resource_doi,4TU references
466e40f6-1313-496c-98f4-c138c1c83a09,Article,b544fefc-8500-4076-b121-6804dc2f6d3b,10.3389/fmars.2023.1129811,Biocompacting livestock accelerate drowning of tidal salt marshes with sea level rise,Dataset: Biocompacting livestock accelerate drowning of tidal salt marshes with sea level rise,10.4121/22128674,28595,,,[]
9b2ac7a1-3fbf-45ce-a890-404968d60123,Article,197206d5-f595-4c07-a92e-7d00d91346d6,10.1093/plphys/kiad267,Highly differentiated genomic properties underpin the different cell walls of Poaceae and eudicots,"Supplementary Dataset 1 from the paper ""Highly differentiated genomic properties underpin the different cell walls of Poaceae and eudicots""",10.4121/21564756,28595,,,[]
9b2ac7a1-3fbf-45ce-a890-404968d60123,Article,354776a6-188c-4f4b-aeaa-92cf856b8e92,10.1093/plphys/kiad267,Highly differentiated genomic properties underpin the different cell walls of Poaceae and eudicots,"Supplementary Dataset 2 from the paper ""Highly differentiated genomic properties underpin the different cell walls of Poaceae and eudicots""",10.4121/22068791,28595,,,[]
1d936ed6-1022-469c-b56c-0d0f9d4a633c,Article,6ee9946f-9ff5-4019-9d91-03e1c5283210,10.1016/j.scitotenv.2024.173294,Defining plastic pollution hotspots,Amsterdam floating litter dataset August 2022,10.4121/6ee9946f-9ff5-4019-9d91-03e1c5283210,28595,,,[]
542800f3-e327-4a78-aa46-4f8e38a7f497,Article,5e6b4b53-6188-4254-a729-47991bbb8832,10.3389/fevo.2023.1232639,Chemical and population genetic analysis show no evidence of ecotype formation in a European population of the parasitoid wasp Nasonia vitripennis,Chemical and population data for Nasonia vitripennnis females collected from the Hoge Veluwe,10.4121/5e6b4b53-6188-4254-a729-47991bbb8832,28595,,,[]
91251d07-17ec-486c-98c9-391f3e932951,Article,8167a3c3-0cbb-413a-bc9d-ad0003a43e93,10.1016/j.wasman.2021.04.001,Black soldier fly reared on pig manure,"Data and R code for the paper Black soldier fly reared on pig manure: bioconversion efficiencies, nutrients in the residual material, greenhouse gas and ammonia emissions",10.4121/14318780,28595,,,[]
4251b22a-eb2a-48a0-a964-393a3fe5ecbf,Article,17c0e4c3-5a73-4286-a044-f544261275cf,10.1016/j.jclepro.2020.122488,"Bioconversion efficiencies, greenhouse gas and ammonia emissions during black soldier fly rearing – A mass balance approach","Data and R code: Bioconversion efficiencies, greenhouse gas and ammonia emissions during black soldier fly rearing – a mass balance approach",10.4121/uuid:3a6fa855-4637-4207-be93-eff1436a430f,28595,,,[]
317a40b3-22da-4afc-bcc0-1b4af0f36c1d,Preprint,5232674a-4255-465f-bd36-306e9a0a9a97,10.5281/zenodo.17035083,Headland bypassing: Sediment budget dominated by moderate rather than extreme events,"Data and model files presented in ""Headland bypassing: Moderate storms dominate extreme events""",10.4121/5232674a-4255-465f-bd36-306e9a0a9a97,28595,,,[]
1cecf052-d4d1-496e-9a60-46df1f02e1b3,Preprint,50ad4bd7-7e12-4ed7-aca9-c51f47141410,10.2139/ssrn.5676007,"Urban scaling of well-being for cities in the Netherlands, the urban centre versus the functional urban area","Data and scripts underlying the publication: Urban scaling of well-being for cities in the Netherlands, the urban centre versus the functional urban area.",10.4121/50ad4bd7-7e12-4ed7-aca9-c51f47141410,28595,,,[]
d1e63297-5788-454e-9779-fa1e90bff808,Article,f33635f9-c7ae-4527-84a9-ebf04d59e405,10.1088/1748-9326/ad383d,Global analysis of groundwater pumping from increased river capture,Data belonging to the publication: Global Analysis of Groundwater Pumping from Increased River Capture,10.4121/f33635f9-c7ae-4527-84a9-ebf04d59e405,28595,,,[]
d80bf50f-02de-47d7-84f5-2fd4d7bf2b42,EngD Thesis,4ddf9a65-e67e-4276-83cd-d925b93befc0,10.18174/680245,Travel in time with BABETTE,Data for creating 3D and 4D images of tomato plants using the BABETTE Pro Platforms,10.4121/4ddf9a65-e67e-4276-83cd-d925b93befc0,28595,,,[]
b31bca37-33fb-4d8a-bc8a-12f3cad68b34,Article,74a2358e-e41c-46f4-b070-8d083bf665ba,10.1126/sciadv.abo0875,An actin mechanostat ensures hyphal tip sharpness in Phytophthora infestans to achieve host penetration,Data from the paper An actin mechanostat ensures hyphal tip sharpness in Phytophthora infestans to facilitate host entry.,10.4121/19367987,28595,,,[]
d22f0731-3e7f-4195-b837-867f956cb5f5,Preprint,7dc5bc6c-7aab-46f5-9634-2aa56c96f18b,10.5194/egusphere-2022-458,"Linking reported drought impacts with drought indices, water scarcity, and aridity: the case of Kenya","Data from the publication: Linking reported drought impacts with drought indices, water scarcity and aridity: the case of Kenya",10.4121/19620357,28595,,,[]
37da5ae2-5fd4-493c-9232-597e3174c289,Article,8e5024c1-ba38-463c-bb6e-ee6048304b64,10.1016/j.scitotenv.2020.142931,30 years of large river restoration: How long do restored floodplain channels remain suitable for targeted rheophilic fishes in the lower river Rhine?,Data from: 30 years of large river restoration: how long do restored floodplain channels remain suitable for targeted rheophilic fishes in the lower river Rhine?,10.4121/12999575,28595,,,[]
14c95836-eb51-41f4-861c-5c1a119363e5,Article,62dfcc30-3c58-46cb-ae00-f7c654068efd,10.1016/j.cam.2023.115095,Deflation techniques applied on mixed model equations,Data from: Deflation techniques applied on mixed model equations,10.4121/19153742,28595,,,[]
81977e44-e7f8-4042-83a1-bdaea3972f71,Article,2a63e10a-bddf-45ab-a7ca-663bea05dafe,10.1111/gcb.16488,Neglecting acclimation of photosynthesis under drought can cause significant errors in predicting leaf photosynthesis in wheat,Data underlying publication: Neglecting acclimation of photosynthesis under drought can cause significant errors in predicting leaf photosynthesis in wheat,10.4121/21304917,28595,,,[]
363be6c6-49a5-481e-8e7f-7b532f7debf5,Article,03e9e2af-904e-4949-ac10-c5721fd6e0f1,10.1093/femsec/fiaf004,Spinach Seed Microbiome Characteristics Linked to Suppressiveness Against Globisporangium ultimum Damping-Off,Data underlying publication: Spinach Seed Microbiome Characteristics Linked to Suppressiveness Against Globisporangium ultimum Damping-Off,10.4121/03e9e2af-904e-4949-ac10-c5721fd6e0f1,28595,,,[]
68b064ea-6a3c-4f83-b2cd-e468e8eea312,"internal PhD, WU",4c08e194-9715-4f5c-8515-55df53d2a3eb,10.18174/591161,Precision nutrition for cardiometabolic health: insights from human dietary intervention studies,"Data underlying the PhD thesis ""Precision nutrition for cardiometabolic health: insights from human dietary intervention studies""",10.4121/4c08e194-9715-4f5c-8515-55df53d2a3eb,28595,,,[]
e187c26d-737b-4f5e-9783-94aa1ef645d4,Report,46fa15ad-85f7-4229-9b8a-e56086b94f41,10.18174/587331,Consumer preference attributes for alternative food products,"Data underlying the publication ""Attributes for consumer acceptance of alternative food products""",10.4121/19298990,28595,,,[]
0f636c92-44cf-44da-886c-9c6942e50c06,Article,aba36166-a8b6-48b5-aafc-31543d6ccc5c,10.1111/faf.12606,Environmental requirements and heterogeneity of rheophilic fish nursery habitats in European lowland rivers,"Data underlying the publication: ""Environmental requirements and heterogeneity of rheophilic fish nursery habitats in European lowland rivers: current insights and future challenges""",10.4121/15066699,28595,,,[]
c6187636-6a22-47c9-b6df-f451e5432494,Preprint,414d3153-49aa-4d5b-8635-a8b35ef8b440,10.21203/rs.3.rs-3975821/v1,Bimodality in subaqueous dune height suggests critical transition at high flow,Data underlying the publication: Bimodality in subaqueous dune height suggests flickering behavior at high flow,10.4121/414d3153-49aa-4d5b-8635-a8b35ef8b440,28595,,,[]
2d57e287-b1b9-4a13-8da7-91ccf578480e,Article,b7df72b2-5841-4022-a56a-6d8073d05190,10.1016/j.marpolbul.2023.115813,"Catchment scale assessment of macroplastic pollution in the Odaw river, Ghana","Data underlying the publication: Catchment scale assessment of macroplastic pollution in the Odaw river, Ghana",10.4121/22274980,28595,,,[]
14101197-1753-40ee-92d3-361eae69df47,Article,ee5c62e1-438a-4a29-be00-1d736579b0e1,10.5194/nhess-25-1993-2025,From insufficient rainfall to livelihoods,Data underlying the publication: From insufficient rainfall to livelihoods: understanding the cascade of drought impacts and policy implications,10.4121/ee5c62e1-438a-4a29-be00-1d736579b0e1,28595,,,[]
