UUID Dataset,Title Dataset,DOI Dataset,UUID Research output,group_id,4TU resource_title,4TU resource_doi,4TU references
c362564b-bc9e-40ec-856b-b616bb909183,"Autonomous Greenhouse Challenge, First Edition (2018)",10.4121/uuid:e4987a7b-04dd-4c89-9b18-883aad30ba9a,,28595,,,['http://edepot.wur.nl/473579']
4ab50cc4-a096-4f3a-bcb6-dc42b0c1c0b7,Climate Policy Database,10.4121/12957986,,28595,,,['https://climatepolicydatabase.org/about']
23fa8470-ae6c-45b6-99f1-b1f75a5a7b6a,"Co-creation of a Just-In-Time Adaptive Intervention for healthy dietary changes: focus groups, survey data, beta test",10.4121/17088866,,28595,,,['https://osf.io/cf3m5/']
38a35344-c065-46f2-8cb9-3bf56f44f28f,Code and secondary data of analysis on pesticide transport during rainfall runoff events,10.4121/19690840,,28595,"Pesticides are substantially transported in particulate phase, driven by land use, rainfall event and pesticide characteristics – a runoff and erosion study in a small agricultural catchment",10.3389/fenvs.2022.830589,['https://github.com/mcommelin/pesticide_transport_runoff_erosion']
75fa3c66-8505-4d6a-9bd9-16973e5ca885,Data Underlying: Expansion Microscopy Reveals Thylakoid Organisation Alterations due to Genetic Mutations and Far-Red Light Acclimation,10.4121/75fa3c66-8505-4d6a-9bd9-16973e5ca885,,28595,Expansion microscopy reveals thylakoid organisation alterations due to genetic mutations and far-red light acclimation,10.1016/j.bbabio.2025.149552,[]
063b000f-0a5e-4f4e-aab5-a9bea6dc34c9,Data Underlying: Non-Photochemical Quenching speeds up with increasing temperatures,10.4121/063b000f-0a5e-4f4e-aab5-a9bea6dc34c9,,28595,Non-Photochemical Quenching speeds up with increasing temperatures,,[]
c51224c6-ad49-46cc-b0aa-abc435c038d8,Data and model code accompanying publication - The crane radar: development and deployment of an operational eco-digital twin,10.4121/c51224c6-ad49-46cc-b0aa-abc435c038d8,,28595,The crane radar: development and deployment of an operational eco-digital twin.,,[]
8183bcd1-f5a8-4923-b82b-c2696a0ab550,Data and model underlying publication: Assessing hydrological model representation of irrigation and subsurface flow in a heavily anthropogenic influenced catchment,10.4121/8183bcd1-f5a8-4923-b82b-c2696a0ab550,,28595,Assessing hydrological model representation of irrigation and subsurface flow in a heavily anthropogenic influenced catchment,,[]
d9706a2a-b77b-412f-a3aa-6e22bd8ddf4a,Data and models used for paper 'The impact of future climate projections and anthropogenic activities on basin-scale groundwater availability',10.4121/d9706a2a-b77b-412f-a3aa-6e22bd8ddf4a,,28595,The impact of future changes in climate variables and groundwater abstraction on basin-scale groundwater availability,10.5194/hess-28-5107-2024,[]
61be5dd9-7880-48dc-bacf-36afbc3033ee,Data and scripts underlying the publication: Quantifying the Spatial Scales of Animal Clusters Using Density Surfaces,10.4121/61be5dd9-7880-48dc-bacf-36afbc3033ee,,28595,Quantifying the Spatial Scales of Animal Clusters Using Density Surfaces,,[]
4ed0e7cd-50e7-4bc4-aae7-289fc0e38dc2,"Data and scripts underlying the publication: Unveiling the roles of temporal periodicity, the spatial environment and behavioural modes in terrestrial animal movement",10.4121/4ed0e7cd-50e7-4bc4-aae7-289fc0e38dc2,,28595,"Unveiling the roles of temporal periodicity, the spatial environment and behavioural modes in terrestrial animal movement",10.1186/s40462-024-00489-3,[]
bac66c61-83c2-4d4a-8770-19b9753ca770,Data and scripts underlying: Feasibility of a JITAI for healthy dietary intake: a mixed-methods study,10.4121/bac66c61-83c2-4d4a-8770-19b9753ca770,,28595,,,"['https://osf.io/cf3m5/', 'https://doi.org/10.4121/17088866']"
6ad60e09-0c71-482d-9d4d-44a0353a3ee8,Data for Sustainable intensification: time to question the goal of ever-increasing agricultural production,10.4121/6ad60e09-0c71-482d-9d4d-44a0353a3ee8,,28595,Sustainable intensification: time to question the goal of ever-increasing agricultural production.,10.1016/j.geoderma.2025.117555,[]
17a57a47-f9dc-481e-9059-07beff7895bf,Data for manuscript: Water motion influences carbon-use strategies of kelp forest assemblages and defines responses of macroalgae to ocean acidification,10.4121/16973866,,28595,Water motion and pH jointly impact the availability of dissolved inorganic carbon to macroalgae,10.1038/s41598-022-26517-z,[]
0cf0ac21-a0e6-4e29-ae88-b45900329537,"Data from: Using legacy data to reconstruct the past? Rescue, rigor and reuse in peatland geochronology",10.4121/14406347,5a81b995-ff48-4ac7-befa-c07ccee9275e,28595,"Using legacy data to reconstruct the past? Rescue, rigour and reuse in peatland geochronology",10.1002/esp.5196,[]
9ff86646-8496-4128-93dd-ec9d6e1c0570,"Data from: Apoplastic effectors, MAMPs and surface immune receptors- the battlefront of the Phytophthora infestans - potato interaction",10.4121/uuid:9032af40-6cd0-409d-be0d-76fe0f4ed576,c0efee01-5d3d-4049-a26c-7ffcf7a6896f,28595,,,['https://doi.org/10.18174/456582']
a2104ec9-2970-46d0-bc0a-15d9e8c1c9c0,Data from: Decades of high nitrogen deposition mainly enhanced eutrophication rather than acidification of Dutch forest soils,10.4121/a2104ec9-2970-46d0-bc0a-15d9e8c1c9c0,,28595,Decades of high nitrogen deposition mainly enhanced eutrophication rather than acidification of Dutch forest soils,,[]
37baec2d-ff75-4090-ab7e-3a0e6e61a2ce,Data from: ‘Radiometric properties of screens and energy saving in greenhouses’,10.4121/37baec2d-ff75-4090-ab7e-3a0e6e61a2ce,,28595,Radiometric properties of screens and energy saving in greenhouses,10.17660/ActaHortic.2025.1426.67,[]
b907c2c2-bc53-491b-9033-310af2dc54d7,"Data from: “Growing agroecology in Nicaragua: Towards a multi-scale perspective on agroecological transition""",10.4121/21378258,79425c5d-b89d-4ba9-8898-ef6bd434f7fe,28595,Growing Agroecology in Nicaragua: Towards a Multi-Scale Perspective on Agroecological Transitions,10.18174/585945,"['https://doi.org/10.1080/21683565.2019.1602097', 'https://doi.org/10.1080/21683565.2019.1667939']"
4bed0b1d-abc6-4d12-a0d2-3e8678337373,"Data on: Effects of soil and water conservation measures on event-based hydrological responses and sediment yield at semi-arid catchments of Tigray, Northern Ethiopia",10.4121/4bed0b1d-abc6-4d12-a0d2-3e8678337373,,28595,"Effects of soil and water conservation measures on event-based hydrological responses and sediment yield at semi-arid catchments of Tigray, Northern Ethiopia",,[]
6889bdd2-7398-45e9-9699-92f89efb6951,Data underlying the article: Chilling Tolerance of Basil Is Not Affected by UVB/C: A ¹H NMR Study,10.4121/6889bdd2-7398-45e9-9699-92f89efb6951,,28595,Chilling Tolerance of Basil Is Not Affected by UVB/C: A ¹H NMR Study,,[]
126614ad-7adf-45cc-9ccc-d9ad283eed5d,Data underlying the experiments of CO2 capture via electrochemically mediated alkaline absorption: Lab-scale continuous operation,10.4121/126614ad-7adf-45cc-9ccc-d9ad283eed5d,,28595,CO2 capture via electrochemically mediated alkaline absorption: Lab-scale continuous operation,,[]
61d3c5c7-4dba-485f-8c95-0f8bf72d5046,Data underlying the master thesis: Factors influencing invertebrate diversity on green rooftops in the Netherlands,10.4121/61d3c5c7-4dba-485f-8c95-0f8bf72d5046,,28595,,,['https://www.kwrwater.nl/wp-content/uploads/2017/02/bijvangst-Report_Green_Roofs_Eva_Drukker_Final_Version1.pdf']
c2bebd5e-73fd-4aee-a0e6-5b1eaefd2e29,"Data underlying the paper ""Demographic structure of African elephant population is a reflection of past drought duration and intensity""",10.4121/c2bebd5e-73fd-4aee-a0e6-5b1eaefd2e29,,28595,Demographic structure of African elephant population is a reflection of past drought duration and intensity,,[]
82985fe1-ff55-42ad-ae60-262e486288a9,"Data underlying the paper: Multi-species productive grasslands offer advantages over permanent grasslands for arthropod conservation, but preserving semi-natural grasslands remains essential",10.4121/82985fe1-ff55-42ad-ae60-262e486288a9,,28595,"Multi-species productive grasslands offer advantages over permanent grasslands for arthropod conservation, but preserving semi-natural grasslands remains essential",,[]
d602cb3c-d650-4075-80c7-175b98d3a603,"Data underlying the publication ""Banana fibre yield and recovery in diversified farming systems of Uganda: Protocol, allometry and determinants.""",10.4121/d602cb3c-d650-4075-80c7-175b98d3a603,,28595,"Banana fibre yield and recovery in diversified farming systems of Uganda: Protocol, allometry and determinants.",,[]
0e245592-63a8-47e7-b7b8-0136082caa7e,"Data underlying the publication ""Nile crocodiles in Lake Nasser, Egypt, are found close to fishermen’s camps indicating potential conflicts""",10.4121/0e245592-63a8-47e7-b7b8-0136082caa7e,,28595,We will add the title of the associated publication of the dataset as soon as it is accepted and published online.,,[]
88840e38-e00d-480d-9222-9be43a31ca73,Data underlying the publication: 'Tree Biomass Equations from Terrestrial LiDAR: A Case Study in Guyana',10.4121/13677322,6723c282-6ed9-451d-b16c-b0c76636a414,28595,Tree Biomass Equations from Terrestrial LiDAR: A Case Study in Guyana,10.3390/f10060527,[]
4112fbf6-44cd-4f07-a0e1-0843c8e6ba35,Data underlying the publication: Biorefining of Thermoplastic Starch (TPS) via Depolymerization and Methane Arrested Anaerobic Digestion,10.4121/4112fbf6-44cd-4f07-a0e1-0843c8e6ba35,,28595,Biorefining of Thermoplastic Starch via Depolymerization and Methane Arrested Anaerobic Digestion,,[]
ac110cab-112b-4f38-ac94-252f8838a9d0,Data underlying the publication: Divergence of microbial community composition and functionality upon serial transfers in novel substrates over 200 generations,10.4121/ac110cab-112b-4f38-ac94-252f8838a9d0,,28595,Divergence of microbial community composition and functionality upon serial transfers in novel substrates over 200 generations,,[]
78749828-6401-4065-828b-87c05663c566,Data underlying the publication: Effect of increasing the level of detail in modelling the relation between agricultural yield and the drainage base,10.4121/78749828-6401-4065-828b-87c05663c566,,28595,,,['https://git.wur.nl/brink233/papermodeldetail.git']
e57f8b3e-20e4-45bc-8581-26a52e2170df,"Data underlying the publication: Effective integration of drone technology for mapping and managing palm species in the Peruvian Amazon, Loreto region (2018-2019)",10.4121/e57f8b3e-20e4-45bc-8581-26a52e2170df,,28595,Effective integration of drone technology for mapping and managing palm species in the Peruvian Amazon,,[]
6655948c-c8a2-4b2e-bab2-efe1aa7192dd,"Data underlying the publication: Effective integration of drone technology for mapping and managing palm species in the Peruvian Amazon, Madre de Dios Region (2019-2022)",10.4121/6655948c-c8a2-4b2e-bab2-efe1aa7192dd,,28595,Effective integration of drone technology for mapping and managing palm species in the Peruvian Amazon,,[]
462c272c-68ee-4c97-a3be-beb4029c22ed,Data underlying the publication: Extreme river flood exposes latent erosion risk,10.4121/462c272c-68ee-4c97-a3be-beb4029c22ed,,28595,Extreme River Flood Exposes Latent Erosion Risk,10.1038/s41586-025-09305-3,[]
